datetime.utcnow;Btn_name;Action;In_Time_Interval
2021-01-26 16:50:26.932682;Btn1;pressed;True
2021-01-26 16:50:30.157878;Btn2;pressed;True
2021-01-26 16:50:33.016387;Btn1;pressed;True
2021-01-26 16:50:36.164430;Btn2;pressed;True
2021-01-26 16:50:38.990345;Btn1;pressed;True
2021-01-26 16:50:42.111274;Btn2;pressed;True
2021-01-26 16:50:45.079264;Btn1;pressed;True
2021-01-26 16:50:48.331262;Btn2;pressed;True
2021-01-26 16:50:51.207228;Btn1;pressed;True
2021-01-26 16:50:54.275261;Btn2;pressed;True
2021-01-26 16:50:57.104993;Btn1;pressed;True
2021-01-26 16:51:00.307236;Btn2;pressed;True
2021-01-26 16:51:03.147021;Btn1;pressed;True
2021-01-26 16:51:06.331210;Btn2;pressed;True
2021-01-26 16:51:09.267207;Btn1;pressed;True
2021-01-26 16:51:12.477080;Btn2;pressed;True
2021-01-26 16:51:15.380914;Btn1;pressed;True
2021-01-26 16:51:18.528266;Btn2;pressed;True
2021-01-26 16:51:21.430636;Btn1;pressed;True
2021-01-26 16:51:24.655265;Btn2;pressed;True
2021-01-26 16:51:27.560299;Btn1;pressed;True
2021-01-26 16:51:30.795249;Btn2;pressed;True
2021-01-26 16:51:33.647009;Btn1;pressed;True
2021-01-26 16:51:36.823212;Btn2;pressed;True
2021-01-26 16:51:39.808976;Btn1;pressed;True
2021-01-26 16:51:42.999240;Btn2;pressed;True
2021-01-26 16:51:45.755270;Btn1;pressed;True
2021-01-26 16:51:48.915244;Btn2;pressed;True
2021-01-26 16:51:51.926312;Btn1;pressed;True
2021-01-26 16:51:55.035725;Btn2;pressed;True
2021-01-26 16:51:57.907036;Btn1;pressed;True
2021-01-26 16:52:01.255231;Btn2;pressed;True
2021-01-26 16:52:03.996080;Btn1;pressed;True
2021-01-26 16:52:07.120366;Btn2;pressed;True
2021-01-26 16:52:09.923210;Btn1;pressed;True
2021-01-26 16:52:13.067570;Btn2;pressed;True
2021-01-26 16:52:16.011210;Btn1;pressed;True
2021-01-26 16:52:19.125501;Btn2;pressed;True
2021-01-26 16:52:21.985722;Btn1;pressed;True
2021-01-26 16:52:25.143391;Btn2;pressed;True
2021-01-26 16:52:28.127261;Btn1;pressed;True
2021-01-26 16:52:31.274080;Btn2;pressed;True
2021-01-26 16:52:34.223265;Btn1;pressed;True
2021-01-26 16:52:37.359250;Btn2;pressed;True
2021-01-26 16:52:40.359393;Btn1;pressed;True
2021-01-26 16:52:43.371214;Btn2;pressed;True
2021-01-26 16:52:46.255244;Btn1;pressed;True
2021-01-26 16:52:49.324176;Btn2;pressed;True
2021-01-26 16:52:52.295566;Btn1;pressed;True
2021-01-26 16:52:55.380498;Btn2;pressed;True
2021-01-26 16:52:58.246432;Btn1;pressed;True
2021-01-26 16:53:01.323929;Btn2;pressed;True
2021-01-26 16:53:04.308200;Btn1;pressed;True
2021-01-26 16:53:07.423633;Btn2;pressed;True
2021-01-26 16:53:10.378643;Btn1;pressed;True
2021-01-26 16:53:13.419287;Btn2;pressed;True
2021-01-26 16:53:16.330959;Btn1;pressed;True
2021-01-26 16:53:19.443210;Btn2;pressed;True
2021-01-26 16:53:22.403211;Btn1;pressed;True
2021-01-26 16:53:25.475983;Btn2;pressed;True
2021-01-26 16:53:28.396160;Btn1;pressed;True
2021-01-26 16:53:31.528212;Btn2;pressed;True
2021-01-26 16:53:34.396206;Btn1;pressed;True
2021-01-26 16:53:37.548115;Btn2;pressed;True
2021-01-26 16:53:40.324043;Btn1;pressed;True
2021-01-26 16:53:43.555245;Btn2;pressed;True
2021-01-26 16:53:46.486899;Btn1;pressed;True
2021-01-26 16:53:49.583643;Btn2;pressed;True
2021-01-26 16:53:52.389835;Btn1;pressed;True
2021-01-26 16:53:55.542472;Btn2;pressed;True
2021-01-26 16:53:58.415927;Btn1;pressed;True
2021-01-26 16:54:01.657591;Btn2;pressed;True
2021-01-26 16:54:04.451173;Btn1;pressed;True
2021-01-26 16:54:07.652889;Btn2;pressed;True
2021-01-26 16:54:10.573696;Btn1;pressed;True
2021-01-26 16:54:13.767259;Btn2;pressed;True
2021-01-26 16:54:16.528228;Btn1;pressed;True
2021-01-26 16:54:19.646537;Btn2;pressed;True
2021-01-26 16:54:22.572299;Btn1;pressed;True
2021-01-26 16:54:25.639274;Btn2;pressed;True
2021-01-26 16:54:28.551253;Btn1;pressed;True
2021-01-26 16:54:31.679176;Btn2;pressed;True
2021-01-26 16:54:34.618545;Btn1;pressed;True
